formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
volume_base_breakout,case_301511_cooldown,301446,formula_exit_or_15,15,11,0.454545,-0.001436,-0.069464,-0.020678,0.000000,0.000000,32.814792,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""signal_cooldown_days"": 10, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,classic_capped,301448,fixed_30,30,41,0.512195,0.053585,-0.136727,0.391916,0.024390,0.000000,62.081529,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
gs_pullback_confirm,default,301448,fixed_15,15,9,1.000000,0.101678,-0.110122,0.923318,0.000000,0.000000,78.149156,{}
gs_raw_buy,fast_x3_cooldown,301448,formula_exit_or_60,60,28,0.464286,0.069954,-0.043304,1.615423,0.000000,0.035714,66.648542,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
volume_base_breakout,default_broad,301448,formula_exit_or_60,60,25,0.480000,0.257076,-0.042160,6.097628,0.040000,0.000000,79.000000,{}
activity_breakout,default,301456,formula_exit_or_10,10,66,0.378788,-0.007097,-0.043092,-0.164692,0.000000,0.000000,26.991692,{}
gs_pullback_confirm,default,301456,fixed_60,60,4,0.000000,-0.053625,-0.173700,-0.308722,0.000000,0.000000,-13.589900,{}
gs_raw_buy,fast_x3_cooldown,301456,fixed_5,5,32,0.562500,0.014978,-0.035856,0.417727,0.000000,0.000000,46.452698,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
ma_base_breakout,early_60_120,301456,fixed_5,5,1,1.000000,0.025300,-0.046900,0.539446,0.000000,0.000000,50.926087,"{""below_days_min"": 30, ""breakout_recent_days"": 5, ""long_ma"": 120, ""ma5_rising_min"": 5, ""mid_ma"": 60, ""short_ma"": 3}"
volume_base_breakout,case_301511_cooldown,301456,fixed_5,5,10,0.800000,0.039390,-0.026440,1.489788,0.000000,0.000000,70.443622,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""signal_cooldown_days"": 10, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,strict_capped,301458,formula_exit_or_5,5,16,0.437500,0.015331,-0.034400,0.445676,0.000000,0.000000,43.019004,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_raw_buy,default,301458,fixed_15,15,20,0.650000,0.033675,-0.059295,0.567923,0.000000,0.000000,59.177115,{}
volume_base_breakout,default_broad,301458,formula_exit_or_5,5,8,0.750000,0.026287,-0.032213,0.816065,0.000000,0.000000,57.408640,{}
activity_breakout,default,301459,formula_exit_or_5,5,61,0.475410,0.003723,-0.035611,0.104544,0.016393,0.000000,36.482554,{}
gs_raw_buy,default,301459,fixed_60,60,19,0.631579,0.066184,-0.142879,0.463219,0.052632,0.000000,65.737146,{}
