formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
gs_raw_buy,local_optuna_t24_vsplit,000663,fixed_60,60,30,0.600000,0.040037,-0.149057,0.268600,0.000000,0.033333,59.028002,"{""down_adjust"": 0.97, ""ema_fallback_span"": 6, ""iterations"": 8, ""signal_cooldown_days"": 15, ""up_adjust"": 1.03, ""x3_ma_windows"": [5, 10, 20, 30]}"
activity_breakout,local_optuna_t24_vsplit,000665,fixed_5,5,34,0.529412,0.023568,-0.070918,0.332324,0.029412,0.000000,49.033680,"{""big_bull_line"": 8.0, ""max_close_ret"": 13.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 11, ""strong_line"": 3.5, ""x15_multiplier"": 1.1}"
activity_breakout,local_optuna_t24_vsplit,000672,fixed_10,10,23,0.739130,0.030313,-0.030948,0.979489,0.000000,0.000000,62.227878,"{""big_bull_line"": 8.0, ""max_close_ret"": 13.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 8, ""strong_line"": 4.0, ""x15_multiplier"": 1.3}"
activity_breakout,local_optuna_t24_vsplit,000678,fixed_15,15,39,0.615385,0.098808,-0.082028,1.204558,0.000000,0.025641,69.227916,"{""big_bull_line"": 6.0, ""max_close_ret"": 10.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 14, ""strong_line"": 3.0, ""x15_multiplier"": 1.6}"
activity_breakout,local_optuna_t24_vsplit,000680,fixed_30,30,37,0.702703,0.052781,-0.074211,0.711232,0.000000,0.000000,69.637240,"{""big_bull_line"": 8.0, ""max_close_ret"": 12.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 13, ""strong_line"": 3.0, ""x15_multiplier"": 1.7000000000000002}"
gs_pullback_confirm,local_optuna_t24_vsplit,000688,fixed_60,60,13,1.000000,0.738946,-0.064669,11.426549,0.000000,0.000000,95.000000,"{""ma_pull_high"": 0.97, ""ma_pull_low"": 0.7200000000000001, ""maxlen_max"": 12, ""maxrun_max"": 9, ""rate_min"": 45, ""sellpct_max"": 75}"
volume_base_breakout,local_optuna_t24_vsplit,000700,fixed_20,20,11,0.818182,0.110500,-0.022891,4.827244,0.000000,0.000000,89.545455,"{""amount_spike_ratio"": 3.2, ""base_ceiling"": 1.3399999999999999, ""base_floor"": 0.88, ""base_max_days"": 110, ""base_min_days"": 30, ""base_range_max"": 0.35, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.44999999999999996, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.4, ""warm_ret_max"": 0.24, ""warm_ret_min"": 0.03, ""warm_vol_ratio"": 0.9}"
volume_base_breakout,local_optuna_t24_vsplit,000702,formula_exit_or_15,15,9,0.888889,0.083000,-0.032544,2.550358,0.000000,0.000000,82.951027,"{""amount_spike_ratio"": 3.2, ""base_ceiling"": 1.38, ""base_floor"": 0.75, ""base_max_days"": 65, ""base_min_days"": 30, ""base_range_max"": 0.41000000000000003, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.96, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.24, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 0.75}"
volume_base_breakout,local_optuna_t24_vsplit,000703,formula_exit_or_5,5,9,0.888889,0.052878,-0.012367,4.275831,0.000000,0.000000,90.199235,"{""amount_spike_ratio"": 2.6, ""base_ceiling"": 1.26, ""base_floor"": 0.81, ""base_max_days"": 65, ""base_min_days"": 45, ""base_range_max"": 0.45, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.44999999999999996, ""signal_cooldown_days"": 13, ""spike_lookback"": 90, ""spike_ratio"": 2.4, ""warm_ret_max"": 0.26, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.85}"
activity_breakout,local_optuna_t24_vsplit,000708,formula_exit_or_5,5,19,0.578947,0.018295,-0.014900,1.227835,0.000000,0.000000,52.654963,"{""big_bull_line"": 8.0, ""max_close_ret"": 12.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 13, ""strong_line"": 3.5, ""x15_multiplier"": 1.7000000000000002}"
activity_breakout,local_optuna_t24_vsplit,000709,formula_exit_or_5,5,16,0.687500,0.024925,-0.020581,1.211054,0.000000,0.000000,59.142769,"{""big_bull_line"": 8.5, ""max_close_ret"": 12.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.7000000000000002}"
activity_breakout,local_optuna_t24_vsplit,000719,fixed_5,5,33,0.606061,0.026524,-0.018430,1.439165,0.000000,0.000000,58.639763,"{""big_bull_line"": 6.5, ""max_close_ret"": 13.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 12, ""strong_line"": 2.5, ""x15_multiplier"": 1.4}"
volume_base_breakout,local_optuna_t24_vsplit,000719,fixed_60,60,9,0.777778,0.147722,-0.048333,3.056322,0.000000,0.000000,82.147511,"{""amount_spike_ratio"": 3.2, ""base_ceiling"": 1.46, ""base_floor"": 0.84, ""base_max_days"": 65, ""base_min_days"": 25, ""base_range_max"": 0.27, ""breakout_max_extension"": 1.11, ""breakout_near_high"": 0.9500000000000001, ""dry_ratio"": 0.5, ""signal_cooldown_days"": 11, ""spike_lookback"": 70, ""spike_ratio"": 2.8, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 0.75}"
gs_raw_buy,local_optuna_t24_vsplit,000725,fixed_5,5,36,0.527778,0.011953,-0.014831,0.805956,0.000000,0.000000,45.839503,"{""down_adjust"": 0.98, ""ema_fallback_span"": 6, ""iterations"": 8, ""signal_cooldown_days"": 14, ""up_adjust"": 1.03, ""x3_ma_windows"": [5, 10, 20, 30]}"
gs_raw_buy,local_optuna_t24_vsplit,000733,formula_exit_or_10,10,36,0.555556,0.028664,-0.022433,1.277737,0.000000,0.000000,57.387294,"{""down_adjust"": 0.97, ""ema_fallback_span"": 6, ""iterations"": 11, ""signal_cooldown_days"": 16, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 5, 10, 20]}"
gs_raw_buy,local_optuna_t24_vsplit,000738,formula_exit_or_5,5,35,0.514286,0.013586,-0.021794,0.623361,0.000000,0.000000,45.338235,"{""down_adjust"": 0.98, ""ema_fallback_span"": 5, ""iterations"": 6, ""signal_cooldown_days"": 16, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 8, 13, 21]}"
activity_breakout,local_optuna_t24_vsplit,000739,formula_exit_or_5,5,9,0.777778,0.036211,-0.025111,1.442035,0.000000,0.000000,67.181634,"{""big_bull_line"": 8.5, ""max_close_ret"": 8.0, ""min_close_ret"": -1.0, ""signal_cooldown_days"": 14, ""strong_line"": 4.5, ""x15_multiplier"": 1.2}"
activity_breakout,local_optuna_t24_vsplit,000755,fixed_15,15,17,0.647059,0.082512,-0.049865,1.654713,0.000000,0.000000,72.685328,"{""big_bull_line"": 6.0, ""max_close_ret"": 9.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 11, ""strong_line"": 3.0, ""x15_multiplier"": 1.1}"
activity_breakout,local_optuna_t24_vsplit,000757,fixed_15,15,21,0.809524,0.059576,-0.063881,0.932613,0.047619,0.000000,73.472588,"{""big_bull_line"": 8.5, ""max_close_ret"": 9.0, ""min_close_ret"": -1.0, ""signal_cooldown_days"": 9, ""strong_line"": 3.5, ""x15_multiplier"": 1.1}"
activity_breakout,local_optuna_t24_vsplit,000766,fixed_30,30,40,0.675000,0.127657,-0.099733,1.279999,0.000000,0.000000,71.649995,"{""big_bull_line"": 5.0, ""max_close_ret"": 8.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 14, ""strong_line"": 4.0, ""x15_multiplier"": 1.2}"
activity_breakout,local_optuna_t24_vsplit,000776,formula_exit_or_5,5,37,0.594595,0.016086,-0.008922,1.803090,0.000000,0.000000,54.896531,"{""big_bull_line"": 5.5, ""max_close_ret"": 9.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 11, ""strong_line"": 3.0, ""x15_multiplier"": 1.5}"
activity_breakout,local_optuna_t24_vsplit,000778,formula_exit_or_5,5,23,0.608696,0.015983,-0.008322,1.920585,0.000000,0.000000,55.855100,"{""big_bull_line"": 6.0, ""max_close_ret"": 8.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 12, ""strong_line"": 4.0, ""x15_multiplier"": 1.6}"
gs_raw_buy,local_optuna_t24_vsplit,000779,fixed_20,20,28,0.607143,0.028936,-0.068964,0.419575,0.000000,0.000000,54.780020,"{""down_adjust"": 0.98, ""ema_fallback_span"": 7, ""iterations"": 10, ""signal_cooldown_days"": 16, ""up_adjust"": 1.02, ""x3_ma_windows"": [5, 10, 20, 30]}"
activity_breakout,local_optuna_t24_vsplit,000786,fixed_10,10,9,0.777778,0.048744,-0.016556,2.944295,0.000000,0.000000,80.959600,"{""big_bull_line"": 8.0, ""max_close_ret"": 14.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
gs_pullback_confirm,local_optuna_t24_vsplit,000792,fixed_30,30,12,0.666667,0.185692,-0.056592,3.281255,0.000000,0.000000,81.406273,"{""ma_pull_high"": 0.96, ""ma_pull_low"": 0.78, ""maxlen_max"": 24, ""maxrun_max"": 11, ""rate_min"": 25, ""sellpct_max"": 70}"
volume_base_breakout,local_optuna_t24_vsplit,000798,fixed_20,20,9,0.777778,0.111022,-0.069378,1.600256,0.111111,0.000000,73.756072,"{""amount_spike_ratio"": 2.0, ""base_ceiling"": 1.26, ""base_floor"": 0.84, ""base_max_days"": 65, ""base_min_days"": 45, ""base_range_max"": 0.25, ""breakout_max_extension"": 1.11, ""breakout_near_high"": 0.9, ""dry_ratio"": 0.44999999999999996, ""signal_cooldown_days"": 14, ""spike_lookback"": 70, ""spike_ratio"": 2.6, ""warm_ret_max"": 0.3, ""warm_ret_min"": -0.01, ""warm_vol_ratio"": 0.85}"
gs_raw_buy,local_optuna_t24_vsplit,000807,fixed_30,30,32,0.656250,0.055725,-0.068991,0.807718,0.000000,0.000000,68.726092,"{""down_adjust"": 0.96, ""ema_fallback_span"": 5, ""iterations"": 12, ""signal_cooldown_days"": 14, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 8, 13, 21]}"
gs_raw_buy,local_optuna_t24_vsplit,000819,fixed_60,60,50,0.500000,0.035156,-0.136520,0.257515,0.020000,0.000000,53.665577,"{""down_adjust"": 0.97, ""ema_fallback_span"": 4, ""iterations"": 9, ""signal_cooldown_days"": 9, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 8, 13, 21]}"
