stock_code,formula_id,merge_decision,merge_reason,old_variant_id,new_variant_id,old_sell_rule,new_sell_rule,old_score,new_score,score_delta,old_validation_score,new_validation_score,validation_score_delta,new_signal_count,new_validation_signal_count,new_win_rate,new_validation_win_rate,new_avg_ret,new_validation_avg_ret,trials,validation_ratio,replacement_params
000950,volume_base_breakout,replace,passes_adoption_guardrails,long_quiet_box,local_optuna_t24_vsplit,formula_exit_or_5,fixed_15,53.004344,87.883370,34.879026,29.321779,65.497789,36.176011,10,3,0.900000,0.666667,0.069950,0.052367,24,0.300000,"{""amount_spike_ratio"": 3.2, ""base_ceiling"": 1.48, ""base_floor"": 0.8200000000000001, ""base_max_days"": 90, ""base_min_days"": 40, ""base_range_max"": 0.25, ""breakout_max_extension"": 1.09, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.35, ""signal_cooldown_days"": 16, ""spike_lookback"": 70, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.3, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 0.85}"
301138,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_60,42.961924,77.618709,34.656785,70.259539,70.259539,0.000000,12,4,1.000000,1.000000,0.055242,0.059525,24,0.300000,"{""ma_pull_high"": 1.01, ""ma_pull_low"": 0.68, ""maxlen_max"": 24, ""maxrun_max"": 6, ""rate_min"": 25, ""sellpct_max"": 55}"
300761,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_5,fixed_5,44.254201,78.885083,34.630882,46.282080,65.519994,19.237914,13,4,0.846154,0.750000,0.046346,0.046050,24,0.300000,"{""big_bull_line"": 7.5, ""max_close_ret"": 9.0, ""min_close_ret"": -1.0, ""signal_cooldown_days"": 13, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
603192,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,formula_exit_or_10,fixed_30,29.299930,63.833063,34.533133,48.702320,55.976909,7.274588,11,3,0.636364,0.666667,0.047500,0.058700,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 10.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 6, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
002662,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_5,fixed_5,49.367779,83.818522,34.450743,38.402719,39.864247,1.461528,11,3,0.909091,0.666667,0.061655,0.013900,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 9.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 12, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
600133,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_10,fixed_5,50.085387,84.469481,34.384094,32.897748,59.378337,26.480588,13,4,0.846154,0.500000,0.076600,0.058175,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 10.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 13, ""strong_line"": 4.0, ""x15_multiplier"": 1.0}"
603489,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,formula_exit_or_10,fixed_10,36.761048,71.010654,34.249606,38.268317,39.437462,1.169145,11,3,0.727273,0.666667,0.049573,0.013967,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 9.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 11, ""strong_line"": 4.5, ""x15_multiplier"": 1.1}"
600970,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_10,fixed_20,33.213608,67.323096,34.109488,21.592139,31.622902,10.030763,10,3,0.800000,0.666667,0.037620,0.000767,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 10.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 10, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
603690,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,formula_exit_or_15,formula_exit_or_15,40.093451,74.163000,34.069550,35.522781,65.602681,30.079899,10,3,0.700000,0.666667,0.063550,0.067500,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 8.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 7, ""strong_line"": 2.5, ""x15_multiplier"": 1.1}"
300818,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_20,fixed_20,35.204543,69.000149,33.795606,66.513037,69.277026,2.763989,12,4,0.750000,1.000000,0.083858,0.077950,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 9.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 9, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
