stock_code,strategy_id,formula_id,display_name,best_holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,effectiveness_score,effectiveness_label,untradable_rate,completion_rate,best_sell_rule,best_sell_rule_score,params
603700,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,60,16,1.000000,0.064662,-0.080813,0.800155,20.400000,稳定/不明显,0.000000,1.000000,fixed_60,79.000773,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
603700,formula_gs_raw_buy,gs_raw_buy,GS原始买点,30,37,0.486486,-0.006335,-0.075749,-0.083634,19.900000,稳定/不明显,0.027000,1.000000,fixed_30,30.738589,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
603700,formula_ma_base_breakout,ma_base_breakout,均线筑底突破,60,1,1.000000,0.066400,-0.126000,,,样本不足,0.000000,1.000000,fixed_60,63.213780,{}
603700,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,5,15,0.466667,-0.000207,-0.021513,-0.009606,46.400000,稳定/不明显,0.066700,1.000000,formula_exit_or_5,33.181968,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
603701,formula_activity_breakout,activity_breakout,活跃度大牛突破,60,41,0.585366,0.048951,-0.167995,0.291385,70.300000,增强中,0.024400,1.000000,fixed_60,63.249607,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
603701,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,60,6,1.000000,0.080233,-0.202433,0.396344,0.000000,样本陈旧,0.000000,1.000000,fixed_60,72.643559,{}
603701,formula_gs_raw_buy,gs_raw_buy,GS原始买点,15,32,0.781250,0.053881,-0.059838,0.900460,12.300000,稳定/不明显,0.000000,1.000000,fixed_15,72.939798,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
603701,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,10,8,0.875000,0.051138,-0.042375,1.206785,71.200000,增强中,0.000000,1.000000,fixed_10,74.968488,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
603703,formula_activity_breakout,activity_breakout,活跃度大牛突破,5,94,0.457447,0.007488,-0.042916,0.174487,0.000000,退化中,0.010600,1.000000,formula_exit_or_5,38.233608,{}
603703,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,10,4,1.000000,0.207750,-0.024850,,,样本不足,0.000000,1.000000,fixed_10,87.953709,{}
603703,formula_gs_raw_buy,gs_raw_buy,GS原始买点,60,35,0.542857,0.021971,-0.162820,0.134943,94.200000,增强中,0.000000,1.000000,fixed_60,47.946144,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
603703,formula_ma_base_breakout,ma_base_breakout,均线筑底突破,60,1,1.000000,0.213600,-0.134600,,,样本不足,0.000000,1.000000,fixed_60,68.513480,"{""below_days_min"": 30, ""breakout_recent_days"": 5, ""long_ma"": 120, ""ma5_rising_min"": 5, ""mid_ma"": 60, ""short_ma"": 3}"
603703,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,20,8,0.875000,0.106712,-0.062750,1.700598,24.500000,稳定/不明显,0.000000,1.000000,fixed_20,77.437552,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
603706,formula_activity_breakout,activity_breakout,活跃度大牛突破,60,53,0.528302,0.016872,-0.110151,0.153169,0.000000,退化中,0.037700,1.000000,fixed_60,44.673392,{}
603706,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,10,10,0.400000,-0.004320,-0.001770,-0.864000,56.500000,样本陈旧,0.000000,1.000000,formula_exit_or_10,24.819681,{}
603706,formula_gs_raw_buy,gs_raw_buy,GS原始买点,60,52,0.653846,0.036904,-0.083281,0.443126,0.000000,退化中,0.000000,1.000000,fixed_60,60.282936,{}
603706,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,10,17,0.647059,0.026188,-0.022641,1.156664,0.000000,退化中,0.117600,1.000000,fixed_10,57.112732,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""signal_cooldown_days"": 10, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
603707,formula_activity_breakout,activity_breakout,活跃度大牛突破,5,59,0.406780,0.003751,-0.030551,0.122774,0.000000,样本陈旧,0.000000,1.000000,formula_exit_or_5,34.692683,{}
